,SVM,RF,GB
0,0.5353535353535354,0.5757575757575758,0.5252525252525253
1,0.5959595959595959,0.5353535353535354,0.5656565656565656
2,0.6868686868686869,0.6161616161616161,0.6262626262626263
3,0.7777777777777778,0.7474747474747475,0.7777777777777778
4,0.5656565656565656,0.6565656565656566,0.6161616161616161
5,0.5918367346938775,0.6530612244897959,0.7040816326530612
6,0.5306122448979592,0.6428571428571429,0.5918367346938775
7,0.5918367346938775,0.6326530612244898,0.5714285714285714
8,0.7142857142857143,0.7244897959183674,0.6530612244897959
9,0.5918367346938775,0.6020408163265306,0.6020408163265306
